Photon Energy [eV],Flux [photons/s/0.1%bw]
4.976833667334669008e+04,1.724340700050911865e+12
5.008877755511021678e+04,1.666535894472453369e+12
5.040921843687374349e+04,1.610673441650115967e+12
5.072965931863727019e+04,1.556687850919558594e+12
5.105010020040079689e+04,1.504515850985877930e+12
5.137054108216433087e+04,1.454096314138833496e+12
5.169098196392785758e+04,1.405370183085977295e+12
5.201142284569138428e+04,1.358280400311621094e+12
5.233186372745491099e+04,1.312771839872943604e+12
5.265230460921843769e+04,1.268791241547710693e+12
5.297274549098196439e+04,1.226287147251166748e+12
5.329318637274549110e+04,1.185209839642621338e+12
5.361362725450901780e+04,1.145511282845118652e+12
5.393406813627254451e+04,1.107145065204298340e+12
5.425450901803607121e+04,1.070066344015232300e+12
5.457494989979959792e+04,1.034231792148547241e+12
5.489539078156312462e+04,9.995995465095991211e+11
5.521583166332665132e+04,9.661291582668358154e+11
5.553627254509017803e+04,9.337815447877508545e+11
5.585671342685370473e+04,9.025189432230245361e+11
5.617715430861723144e+04,8.723048656815576172e+11
5.649759519038075814e+04,8.431040559411419678e+11
5.681803607214428484e+04,8.148824476414637451e+11
5.713847695390781155e+04,7.876071239080250244e+11
5.745891783567133825e+04,7.612462783573868408e+11
5.777935871743486496e+04,7.357691774358983154e+11
5.809979959919839166e+04,7.111461240457404785e+11
5.842024048096192564e+04,6.873484224137742920e+11
5.874068136272545235e+04,6.643483441602221680e+11
5.906112224448897905e+04,6.421190955257332764e+11
5.938156312625250575e+04,6.206347857168502197e+11
5.970200400801603246e+04,5.998703963312797852e+11
6.002244488977955916e+04,5.798017518257406006e+11
6.034288577154308587e+04,5.604054909904538574e+11
6.066332665330661257e+04,5.416590393956106567e+11
6.098376753507013927e+04,5.235405827763550415e+11
6.130420841683366598e+04,5.060290413239967041e+11
6.162464929859719268e+04,4.891040448522921753e+11
6.194509018036071939e+04,4.727459088087201538e+11
6.226553106212424609e+04,4.569356111017286987e+11
6.258597194388777280e+04,4.416547697159396973e+11
6.290641282565129950e+04,4.268856210882721558e+11
6.322685370741482620e+04,4.126109992188894653e+11
6.354729458917835291e+04,3.988143154917761230e+11
6.386773547094187961e+04,3.854795391806337280e+11
6.418817635270540632e+04,3.725911786166196899e+11
6.450861723446893302e+04,3.601342629952771606e+11
6.482905811623245972e+04,3.480943248007781982e+11
6.514949899799599370e+04,3.364573828263726807e+11
6.546993987975952041e+04,3.252099257706527100e+11
6.579038076152304711e+04,3.143388963899600830e+11
6.611082164328657382e+04,3.038316761879349976e+11
6.643126252505010052e+04,2.936760706238675537e+11
6.675170340681362723e+04,2.838602948221406250e+11
6.707214428857715393e+04,2.743729597656691589e+11
6.739258517034068063e+04,2.652030589568272705e+11
6.771302605210420734e+04,2.563399555299254761e+11
6.803346693386773404e+04,2.477733697998459778e+11
6.835390781563126075e+04,2.394933672319802246e+11
6.867434869739478745e+04,2.314903468191170654e+11
6.899478957915831415e+04,2.237550298514270325e+11
6.931523046092184086e+04,2.162784490661650696e+11
6.963567134268536756e+04,2.090519381641725769e+11
6.995611222444889427e+04,2.020671216807007751e+11
7.027655310621242097e+04,1.953159051985127869e+11
7.059699398797594768e+04,1.887904658916245117e+11
7.091743486973947438e+04,1.824832433884545593e+11
7.123787575150300108e+04,1.763869309435290222e+11
7.155831663326652779e+04,1.704944669072657776e+11
7.187875751503005449e+04,1.647990264837161560e+11
7.219919839679358120e+04,1.592940137664924011e+11
7.251963927855710790e+04,1.539730540434413452e+11
7.284008016032063460e+04,1.488299863609483032e+11
7.316052104208416131e+04,1.438588563390664978e+11
7.348096192384768801e+04,1.390539092289684143e+11
7.380140280561121472e+04,1.344095832045060425e+11
7.412184368737474142e+04,1.299205028799467926e+11
7.444228456913826813e+04,1.255814730462234955e+11
7.476272545090179483e+04,1.213874726182970581e+11
7.508316633266532153e+04,1.173336487864845428e+11
7.540360721442886279e+04,1.134153113648463135e+11
7.572404809619238949e+04,1.096279273299660187e+11
7.604448897795591620e+04,1.059671155436764984e+11
7.636492985971944290e+04,1.024286416535142212e+11
7.668537074148296961e+04,9.900841316488726807e+10
7.700581162324649631e+04,9.570247467915274048e+10
7.732625250501002301e+04,9.250700329199406433e+10
7.764669338677354972e+04,8.941830414667979431e+10
7.796713426853707642e+04,8.643280613697108459e+10
7.828757515030060313e+04,8.354705775462094116e+10
7.860801603206412983e+04,8.075772307658148193e+10
7.892845691382765654e+04,7.806157788720121765e+10
7.924889779559118324e+04,7.545550593085375977e+10
7.956933867735470994e+04,7.293649529059539795e+10
7.988977955911823665e+04,7.050163488859709167e+10
8.021022044088176335e+04,6.814811110424157715e+10
8.053066132264529006e+04,6.587320450591579437e+10
8.085110220440881676e+04,6.367428669266284180e+10
8.117154308617234346e+04,6.154881724198798370e+10
8.149198396793587017e+04,5.949434076023925018e+10
8.181242484969939687e+04,5.750848403210366058e+10
8.213286573146292358e+04,5.558895326587808228e+10
8.245330661322645028e+04,5.373353143128627777e+10
8.277374749498997699e+04,5.194007568672321320e+10
8.309418837675350369e+04,5.020651489291380310e+10
8.341462925851703039e+04,4.853084721007414246e+10
8.373507014028055710e+04,4.691113777576268005e+10
8.405551102204408380e+04,4.534551646070401764e+10
8.437595190380761051e+04,4.383217569995906830e+10
8.469639278557113721e+04,4.236936839690477753e+10
8.501683366733466391e+04,4.095540589757273865e+10
8.533727454909819062e+04,3.958865603297765350e+10
8.565771543086171732e+04,3.826754122714769745e+10
8.597815631262524403e+04,3.699053666864601898e+10
8.629859719438877073e+04,3.575616854344682312e+10
8.661903807615229744e+04,3.456301232710173798e+10
8.693947895791582414e+04,3.340969113420270920e+10
8.725991983967935084e+04,3.229487412321352768e+10
8.758036072144287755e+04,3.121727495480862045e+10
8.790080160320640425e+04,3.017565030191931534e+10
8.822124248496993096e+04,2.916879840974968719e+10
8.854168336673345766e+04,2.819555770408158875e+10
8.886212424849698436e+04,2.725480544624609375e+10
8.918256513026052562e+04,2.634545643319273376e+10
8.950300601202405232e+04,2.546646174114109802e+10
8.982344689378757903e+04,2.461680751135002136e+10
9.014388777555110573e+04,2.379551377658980560e+10
9.046432865731463244e+04,2.300163332694962692e+10
9.078476953907815914e+04,2.223425061365913773e+10
9.110521042084168585e+04,2.149248068964708710e+10
9.142565130260521255e+04,2.077546818560364914e+10
9.174609218436873925e+04,2.008238632035381317e+10
9.206653306613226596e+04,1.941243594439009476e+10
9.238697394789579266e+04,1.876484461545097733e+10
9.270741482965931937e+04,1.813886570506959152e+10
9.302785571142284607e+04,1.753377753505277252e+10
9.334829659318637277e+04,1.694888254288619423e+10
9.366873747494989948e+04,1.638350647509448433e+10
9.398917835671342618e+04,1.583699760761845970e+10
9.430961923847695289e+04,1.530872599230278206e+10
9.463006012024047959e+04,1.479808272861808586e+10
9.495050100200400630e+04,1.430447925977086830e+10
9.527094188376753300e+04,1.382734669238316727e+10
