Energy [eV],Flux [Phot/sec/0.1%bw]
2.186546546546546597e+04,3.992473741196759375e+13
2.192542542542542651e+04,3.972151860364129688e+13
2.198538538538538705e+04,3.951940168003573438e+13
2.204534534534534396e+04,3.931837819124107812e+13
2.210530530530530450e+04,3.911844206060350000e+13
2.216526526526526504e+04,3.891958650172973438e+13
2.222522522522522559e+04,3.872180478496282031e+13
2.228518518518518613e+04,3.852509023671313281e+13
2.234514514514514667e+04,3.832943623872723438e+13
2.240510510510510358e+04,3.813483622741738281e+13
2.246506506506506412e+04,3.794128369319918750e+13
2.252502502502502466e+04,3.774877217978714844e+13
2.258498498498498520e+04,3.755729528358814844e+13
2.264494494494494575e+04,3.736684665304501562e+13
2.270490490490490629e+04,3.717741998799905469e+13
2.276486486486486319e+04,3.698900903907728906e+13
2.282482482482482374e+04,3.680160842067660156e+13
2.288478478478478428e+04,3.661521036980778906e+13
2.294474474474474482e+04,3.642980958584017969e+13
2.300470470470470536e+04,3.624540001655093750e+13
2.306466466466466591e+04,3.606197565756953906e+13
2.312462462462462281e+04,3.587953055181665625e+13
2.318458458458458335e+04,3.569805878892260938e+13
2.324454454454454390e+04,3.551755450473399219e+13
2.330450450450450444e+04,3.533801188073683594e+13
2.336446446446446498e+04,3.515942514356819141e+13
2.342442442442442552e+04,3.498178856446851953e+13
2.348438438438438607e+04,3.480509645880478516e+13
2.354434434434434297e+04,3.462934318554004688e+13
2.360430430430430351e+04,3.445452314677744141e+13
2.366426426426426406e+04,3.428063078725395312e+13
2.372422422422422460e+04,3.410766144320361328e+13
2.378418418418418514e+04,3.393560795843571484e+13
2.384414414414414568e+04,3.376446573845690234e+13
2.390410410410410259e+04,3.359422939387117578e+13
2.396406406406406313e+04,3.342489357565548828e+13
2.402402402402402367e+04,3.325645297465811719e+13
2.408398398398398422e+04,3.308890232121421094e+13
2.414394394394394476e+04,3.292223638468292969e+13
2.420390390390390530e+04,3.275644997307656250e+13
2.426386386386386221e+04,3.259153793257053516e+13
2.432382382382382275e+04,3.242749514719333594e+13
2.438378378378378329e+04,3.226431653835016406e+13
2.444374374374374383e+04,3.210199706446663281e+13
2.450370370370370438e+04,3.194053172059457422e+13
2.456366366366366492e+04,3.177991553801655469e+13
2.462362362362362182e+04,3.162014445682781641e+13
2.468358358358358237e+04,3.146121184754769141e+13
2.474354354354354291e+04,3.130311370735789453e+13
2.480350350350350345e+04,3.114584520881478125e+13
2.486346346346346400e+04,3.098940155889018750e+13
2.492342342342342454e+04,3.083377799863180078e+13
2.498338338338338508e+04,3.067896980280300000e+13
2.504334334334334199e+04,3.052497227955778125e+13
2.510330330330330253e+04,3.037178077010896875e+13
2.516326326326326307e+04,3.021939064838194922e+13
2.522322322322322361e+04,3.006779732069539453e+13
2.528318318318318416e+04,2.991699622547184766e+13
2.534314314314314470e+04,2.976698283287323828e+13
2.540310310310310160e+04,2.961775264453200391e+13
2.546306306306306215e+04,2.946930119322069141e+13
2.552302302302302269e+04,2.932162404255693359e+13
2.558298298298298323e+04,2.917471678672152734e+13
2.564294294294294377e+04,2.902857596043241016e+13
2.570290290290290432e+04,2.888319541123132812e+13
2.576286286286286122e+04,2.873857171993226562e+13
2.582282282282282176e+04,2.859470060001968359e+13
2.588278278278278231e+04,2.845157779408416406e+13
2.594274274274274285e+04,2.830919907358893750e+13
2.600270270270270339e+04,2.816756023855400000e+13
2.606266266266266393e+04,2.802665711732625000e+13
2.612262262262262084e+04,2.788648556631261328e+13
2.618258258258258138e+04,2.774704146968977734e+13
2.624254254254254192e+04,2.760832073918357422e+13
2.630250250250250247e+04,2.747031931381772656e+13
2.636246246246246301e+04,2.733303315963073047e+13
