Photon Energy [eV],Flux [Photons/s/0.1%bw]
5.409018036072143877e+04,3.772655552355060577e+10
5.444889779559118324e+04,3.699111472806940460e+10
5.480761523046092043e+04,3.626394039718443298e+10
5.516633266533065762e+04,3.554527741000093842e+10
5.552505010020040208e+04,3.483534740438240051e+10
5.588376753507013927e+04,3.413434762893712997e+10
5.624248496993987646e+04,3.344245284147140121e+10
5.660120240480961365e+04,3.275981629153570938e+10
5.695991983967935812e+04,3.208657190781525421e+10
5.731863727454909531e+04,3.142283393978220749e+10
5.767735470941883250e+04,3.076869903564084244e+10
5.803607214428857696e+04,3.012424645770402908e+10
5.839478957915831415e+04,2.948954136894315720e+10
5.875350701402805134e+04,2.886463238163039780e+10
5.911222444889779581e+04,2.824955416951459885e+10
5.947094188376753300e+04,2.764432993612258530e+10
5.982965931863727019e+04,2.704896829224386215e+10
6.018837675350701466e+04,2.646350928277450562e+10
6.054709418837675184e+04,2.588805132293772888e+10
6.090581162324648903e+04,2.532222494697069168e+10
6.126452905811622622e+04,2.476619670922195435e+10
6.162324649298597069e+04,2.421992647633379364e+10
6.198196392785570788e+04,2.368336601441385269e+10
6.234068136272544507e+04,2.315645957885062027e+10
6.269939879759518954e+04,2.263914447406082916e+10
6.305811623246492672e+04,2.213135158441275787e+10
6.341683366733466391e+04,2.163300587753457260e+10
6.377555110220440838e+04,2.114402688118235397e+10
6.413426853707414557e+04,2.066432913480673599e+10
6.449298597194388276e+04,2.019382261692106628e+10
6.485170340681362723e+04,1.973241314933793259e+10
6.521042084168336442e+04,1.928000277930493546e+10
6.556913827655310160e+04,1.883649014053485489e+10
6.592785571142284607e+04,1.840177079408971024e+10
6.628657314629259054e+04,1.797573755004330063e+10
6.664529058116232045e+04,1.755828077081245041e+10
6.700400801603206492e+04,1.714928865701314735e+10
6.736272545090179483e+04,1.674864751666474342e+10
6.772144288577153930e+04,1.635624201853308296e+10
6.808016032064128376e+04,1.597195543037164688e+10
6.843887775551101367e+04,1.559566984278922844e+10
6.879759519038075814e+04,1.522726637944253540e+10
6.915631262525050261e+04,1.486662539422344398e+10
6.951503006012023252e+04,1.451362665608199501e+10
