Photon Energy [eV],[oe 1] Transmitivity 100umAl,[oe 2] Transmitivity 200umAl,[oe 3] Transmitivity 500umAl,[oe 2] Transmitivity 1mmAl,[oe 4] Transmitivity 10umCu,[oe 5] Transmitivity 20umCu,[oe 3] Transmitivity 50umCu,[oe 4] Transmitivity 10umFe,[oe 5] Transmitivity 50umFe,[oe 3] Transmitivity 75umPd,[oe 1] Transmitivity 5mmGraphite,[oe 2] Transmitivity 20mmGraphite,[oe 1] Transmitivity 700umCVD,[oe 4] Transmitivity 1mAir,[oe 1] Transmitivity_1.5mmSi,[oe 2] Transmitivity_25umMo
13291.1911911912,0.736079384060494,0.541812859638876,0.216084328782426,0.046692437145351,0.397221689631645,0.157785070713819,0.009889282244011,0.535096662614775,0.043869351197995,0.009701371980177,0.37878502343205,0.020585963451106,0.765777088458003,0.765546424646616,0.005790942432237,0.363954084861264
13351.1511511512,0.739053698369445,0.546200369073554,0.220485469201755,0.048613842129118,0.40171078146028,0.161371551941429,0.010460861190225,0.539177370557443,0.045567823156186,0.010258716285459,0.383028772498349,0.021524129422665,0.768126015260464,0.768118025466475,0.006195811911102,0.368435415916527
13411.1111111111,0.741987409995463,0.550545316591776,0.224896492018677,0.050578432122307,0.406177598394262,0.164980241437331,0.01105553686463,0.543222366459429,0.047302948887121,0.010838030299094,0.387240917799243,0.022486660503122,0.77043886219887,0.7706515739892,0.00662116516907,0.372895866672404
13471.0710710711,0.744881091703445,0.554847840777316,0.229316207531785,0.052585923036761,0.410621590574242,0.16861009064572,0.011673710117565,0.547231760092503,0.049074566794932,0.011439674064575,0.391421205584994,0.023473475751163,0.772716250640246,0.773147684558384,0.007067550769441,0.377334978321975
13531.031031031,0.747735310383124,0.559108094393747,0.233743449723142,0.054636000288475,0.415042233547251,0.172260055627891,0.012315766825738,0.551205671062674,0.050882493493929,0.012063994848091,0.395569407509059,0.024484474494379,0.774958791553615,0.775606962519805,0.007535508843308,0.381752315348162
13590.990990991,0.750550626953394,0.563326243620133,0.238177076569758,0.056728319803317,0.419439027790702,0.175929098034009,0.012982077287209,0.555144228307968,0.052726524394675,0.012711326745958,0.39968531966911,0.025519536848207,0.777167085613254,0.778030004255547,0.008025570198953,0.386147464904322
13650.950950951,0.753327596278227,0.567502467314332,0.242615970303397,0.058862509046259,0.423811498226617,0.17961618602909,0.013672995656897,0.55904756961384,0.054606434305991,0.01338199032391,0.403768761669612,0.026578524258863,0.779341723306363,0.78041739722522,0.008538255460441,0.390520036200156
13710.9109109109,0.7560667670935,0.571636956303216,0.247059037621251,0.061038168070339,0.428159193727489,0.183320295173374,0.014388859423449,0.562915841145803,0.056521978050895,0.01407629228822,0.407819575706264,0.027661280067557,0.781483285044647,0.782769720013739,0.00907407423747,0.394869659893613
13770.8708708709,0.75876868194409,0.575729912699172,0.251505209850077,0.063254870581731,0.432481686615101,0.187040409257443,0.015129988928113,0.566749196998809,0.05847289109456,0.01479452518853,0.411837625672562,0.028767630093384,0.783592341279403,0.78508754238513,0.009633524328363,0.399195987489454
13830.8308308308,0.761433877130628,0.57978154924218,0.255953443066239,0.065512165017462,0.436778572153529,0.190775521092475,0.015896686926044,0.570547798762925,0.060458890182414,0.01553696715216,0.415822796288598,0.029897383232332,0.785669452619667,0.787371425341863,0.010217090957845,0.403498690745012
13890.7907907908,0.76406288266532,0.583792088666838,0.260402718174119,0.06780957563247,0.441049468037558,0.194524633256213,0.016689238190345,0.574311815104879,0.062479673986638,0.016303881649579,0.419774992252235,0.031050332069989,0.787715169953077,0.789621921189259,0.010825246051085,0.407777461083712
13950.7507507508,0.766656222236281,0.587761763093605,0.264852040945208,0.070146603592842,0.445294013877573,0.1982867587952,0.017507909158925,0.578041421365001,0.064534923759299,0.017095517290605,0.423694137412637,0.032226253505572,0.78973003456905,0.791839573604517,0.011458447545274,0.412032009016742
